Submatrix Pattern,Noise,RF,Loss,Percent.of.Maximum.MI.per.RF,Which.Loss
4,0,4,0.081859,0.177213,Loss at 5 Epochs
4,0,8,0.542184,0.029237,Loss at 5 Epochs
4,0,8,1.197585,0.029237,Loss at 5 Epochs
4,0,8,0.715872,0.029237,Loss at 5 Epochs
4,0,8,1.957382,0.029237,Loss at 5 Epochs
4,0,8,1.812809,0.029237,Loss at 5 Epochs
4,0,8,0.642071,0.029237,Loss at 5 Epochs
4,0,8,1.09317,0.029237,Loss at 5 Epochs
4,0,8,0.800468,0.029237,Loss at 5 Epochs
4,0,8,0.608429,0.029237,Loss at 5 Epochs
4,0,8,0.696397,0.029237,Loss at 5 Epochs
4,0.1,2,1.007597,0.050524,Loss at 5 Epochs
4,0.1,2,0.724852,0.050524,Loss at 5 Epochs
4,0.1,2,0.542925,0.050524,Loss at 5 Epochs
4,0.1,2,1.094967,0.050524,Loss at 5 Epochs
4,0.1,2,0.42025,0.050524,Loss at 5 Epochs
4,0.1,2,2.017599,0.050524,Loss at 5 Epochs
4,0.1,2,0.766722,0.050524,Loss at 5 Epochs
4,0.1,2,0.434861,0.050524,Loss at 5 Epochs
4,0.1,2,1.025724,0.050524,Loss at 5 Epochs
4,0.1,2,0.677249,0.050524,Loss at 5 Epochs
4,0.1,4,0.38417,0.083638,Loss at 5 Epochs
4,0.1,4,0.875656,0.083638,Loss at 5 Epochs
4,0.1,4,0.704687,0.083638,Loss at 5 Epochs
4,0.1,4,0.829742,0.083638,Loss at 5 Epochs
4,0.1,4,0.619213,0.083638,Loss at 5 Epochs
4,0.1,4,0.685888,0.083638,Loss at 5 Epochs
4,0.1,4,0.702903,0.083638,Loss at 5 Epochs
4,0.1,4,1.423816,0.083638,Loss at 5 Epochs
4,0.1,4,0.593409,0.083638,Loss at 5 Epochs
4,0.1,4,0.629247,0.083638,Loss at 5 Epochs
4,0.1,8,2.10527,0.020634,Loss at 5 Epochs
4,0.1,8,2.275532,0.020634,Loss at 5 Epochs
4,0.1,8,2.007622,0.020634,Loss at 5 Epochs
4,0.1,8,1.803084,0.020634,Loss at 5 Epochs
4,0.1,8,2.173051,0.020634,Loss at 5 Epochs
4,0.1,8,1.838933,0.020634,Loss at 5 Epochs
4,0.1,8,1.721929,0.020634,Loss at 5 Epochs
4,0.1,8,2.116854,0.020634,Loss at 5 Epochs
4,0.1,8,1.798623,0.020634,Loss at 5 Epochs
4,0.1,8,1.942043,0.020634,Loss at 5 Epochs
4,0.2,2,2.371329,0.011896,Loss at 5 Epochs
4,0.2,2,1.953031,0.011896,Loss at 5 Epochs
4,0.2,2,2.364089,0.011896,Loss at 5 Epochs
4,0.2,2,1.823599,0.011896,Loss at 5 Epochs
4,0.2,2,3.817264,0.011896,Loss at 5 Epochs
4,0.2,2,2.406231,0.011896,Loss at 5 Epochs
4,0.2,2,3.385664,0.011896,Loss at 5 Epochs
4,0.2,2,3.298965,0.011896,Loss at 5 Epochs
4,0.2,2,2.552275,0.011896,Loss at 5 Epochs
4,0.2,2,3.209452,0.011896,Loss at 5 Epochs
4,0.2,4,2.482954,0.022484,Loss at 5 Epochs
4,0.2,4,2.950248,0.022484,Loss at 5 Epochs
4,0.2,4,2.235516,0.022484,Loss at 5 Epochs
4,0.2,4,3.008279,0.022484,Loss at 5 Epochs
4,0.2,4,2.114119,0.022484,Loss at 5 Epochs
4,0.2,4,2.827544,0.022484,Loss at 5 Epochs
4,0.2,4,2.402895,0.022484,Loss at 5 Epochs
4,0.2,4,2.577133,0.022484,Loss at 5 Epochs
4,0.2,4,1.266017,0.022484,Loss at 5 Epochs
4,0.2,4,2.149432,0.022484,Loss at 5 Epochs
4,0.2,8,3.393573,0.006003,Loss at 5 Epochs
4,0.2,8,4.030528,0.006003,Loss at 5 Epochs
4,0.2,8,3.716342,0.006003,Loss at 5 Epochs
4,0.2,8,3.565709,0.006003,Loss at 5 Epochs
4,0.2,8,3.662825,0.006003,Loss at 5 Epochs
4,0.2,8,3.899838,0.006003,Loss at 5 Epochs
4,0.2,8,3.493632,0.006003,Loss at 5 Epochs
4,0.2,8,3.658781,0.006003,Loss at 5 Epochs
4,0.2,8,3.556527,0.006003,Loss at 5 Epochs
4,0.2,8,3.37776,0.006003,Loss at 5 Epochs
4,0.3,2,4.40652,0.005294,Loss at 5 Epochs
4,0.3,2,4.375634,0.005294,Loss at 5 Epochs
4,0.3,2,4.606185,0.005294,Loss at 5 Epochs
4,0.3,2,4.147058,0.005294,Loss at 5 Epochs
4,0.3,2,4.823443,0.005294,Loss at 5 Epochs
4,0.3,2,4.428096,0.005294,Loss at 5 Epochs
4,0.3,2,4.868338,0.005294,Loss at 5 Epochs
4,0.3,2,4.293602,0.005294,Loss at 5 Epochs
4,0.3,2,4.977821,0.005294,Loss at 5 Epochs
4,0.3,2,4.382071,0.005294,Loss at 5 Epochs
4,0.3,4,4.479201,0.017103,Loss at 5 Epochs
4,0.3,4,4.496904,0.017103,Loss at 5 Epochs
4,0.3,4,4.007043,0.017103,Loss at 5 Epochs
4,0.3,4,4.398357,0.017103,Loss at 5 Epochs
4,0.3,4,4.315944,0.017103,Loss at 5 Epochs
4,0.3,4,4.921657,0.017103,Loss at 5 Epochs
4,0.3,4,4.267154,0.017103,Loss at 5 Epochs
4,0.3,4,4.881343,0.017103,Loss at 5 Epochs
4,0.3,4,4.130175,0.017103,Loss at 5 Epochs
4,0.3,4,4.73189,0.017103,Loss at 5 Epochs
4,0.3,8,4.961135,0.004735,Loss at 5 Epochs
4,0.3,8,4.948525,0.004735,Loss at 5 Epochs
4,0.3,8,4.94094,0.004735,Loss at 5 Epochs
4,0.3,8,4.999318,0.004735,Loss at 5 Epochs
4,0.3,8,4.964199,0.004735,Loss at 5 Epochs
4,0.3,8,4.834272,0.004735,Loss at 5 Epochs
4,0.3,8,4.997917,0.004735,Loss at 5 Epochs
4,0.3,8,4.846475,0.004735,Loss at 5 Epochs
4,0.3,8,5.173571,0.004735,Loss at 5 Epochs
4,0.3,8,4.971682,0.004735,Loss at 5 Epochs
4,0.4,2,5.451662,0.001081,Loss at 5 Epochs
4,0.4,2,5.340939,0.001081,Loss at 5 Epochs
4,0.4,2,5.396162,0.001081,Loss at 5 Epochs
4,0.4,2,5.486448,0.001081,Loss at 5 Epochs
4,0.4,2,5.444309,0.001081,Loss at 5 Epochs
4,0.4,2,5.496461,0.001081,Loss at 5 Epochs
4,0.4,2,5.537164,0.001081,Loss at 5 Epochs
4,0.4,2,5.409021,0.001081,Loss at 5 Epochs
4,0.4,2,5.444924,0.001081,Loss at 5 Epochs
4,0.4,2,5.494569,0.001081,Loss at 5 Epochs
4,0.4,4,5.45007,0.007099,Loss at 5 Epochs
4,0.4,4,5.446009,0.007099,Loss at 5 Epochs
4,0.4,4,5.4931,0.007099,Loss at 5 Epochs
4,0.4,4,5.57393,0.007099,Loss at 5 Epochs
4,0.4,4,5.478632,0.007099,Loss at 5 Epochs
4,0.4,4,5.517619,0.007099,Loss at 5 Epochs
4,0.4,4,5.504335,0.007099,Loss at 5 Epochs
4,0.4,4,5.508209,0.007099,Loss at 5 Epochs
4,0.4,4,5.447032,0.007099,Loss at 5 Epochs
4,0.4,4,5.530012,0.007099,Loss at 5 Epochs
4,0.4,8,5.581759,0.00238,Loss at 5 Epochs
4,0.4,8,5.577707,0.00238,Loss at 5 Epochs
4,0.4,8,5.591267,0.00238,Loss at 5 Epochs
4,0.4,8,5.572085,0.00238,Loss at 5 Epochs
4,0.4,8,5.551421,0.00238,Loss at 5 Epochs
4,0.4,8,5.53966,0.00238,Loss at 5 Epochs
4,0.4,8,5.553658,0.00238,Loss at 5 Epochs
4,0.4,8,5.531257,0.00238,Loss at 5 Epochs
4,0.4,8,5.561355,0.00238,Loss at 5 Epochs
4,0.4,8,5.570198,0.00238,Loss at 5 Epochs
8,0,2,0.264949,0.008923,Loss at 5 Epochs
8,0,2,0.200791,0.008923,Loss at 5 Epochs
8,0,2,0.21662,0.008923,Loss at 5 Epochs
8,0,2,0.24874,0.008923,Loss at 5 Epochs
8,0,2,0.390411,0.008923,Loss at 5 Epochs
8,0,2,0.200219,0.008923,Loss at 5 Epochs
8,0,2,0.355157,0.008923,Loss at 5 Epochs
8,0,2,0.190793,0.008923,Loss at 5 Epochs
8,0,2,0.299978,0.008923,Loss at 5 Epochs
8,0,2,0.395345,0.008923,Loss at 5 Epochs
8,0,4,0.567871,0.048655,Loss at 5 Epochs
8,0,4,0.828343,0.048655,Loss at 5 Epochs
8,0,4,0.431016,0.048655,Loss at 5 Epochs
8,0,4,0.564173,0.048655,Loss at 5 Epochs
8,0,4,0.703032,0.048655,Loss at 5 Epochs
8,0,4,0.442352,0.048655,Loss at 5 Epochs
8,0,4,0.630414,0.048655,Loss at 5 Epochs
8,0,4,0.389886,0.048655,Loss at 5 Epochs
8,0,4,0.605054,0.048655,Loss at 5 Epochs
8,0,4,0.546943,0.048655,Loss at 5 Epochs
8,0,8,0.615871,0.251712,Loss at 5 Epochs
8,0,8,0.544057,0.251712,Loss at 5 Epochs
8,0,8,1.198306,0.251712,Loss at 5 Epochs
8,0,8,2.081417,0.251712,Loss at 5 Epochs
8,0,8,1.52038,0.251712,Loss at 5 Epochs
8,0,8,0.375803,0.251712,Loss at 5 Epochs
8,0,8,0.847257,0.251712,Loss at 5 Epochs
8,0,8,1.460886,0.251712,Loss at 5 Epochs
8,0,8,0.383089,0.251712,Loss at 5 Epochs
8,0,8,1.21438,0.251712,Loss at 5 Epochs
8,0.1,2,1.149702,0.004297,Loss at 5 Epochs
8,0.1,2,0.890786,0.004297,Loss at 5 Epochs
8,0.1,2,0.864041,0.004297,Loss at 5 Epochs
8,0.1,2,0.918299,0.004297,Loss at 5 Epochs
8,0.1,2,0.958761,0.004297,Loss at 5 Epochs
8,0.1,2,1.130906,0.004297,Loss at 5 Epochs
8,0.1,2,0.860878,0.004297,Loss at 5 Epochs
8,0.1,2,1.205807,0.004297,Loss at 5 Epochs
8,0.1,2,0.739063,0.004297,Loss at 5 Epochs
8,0.1,2,0.892541,0.004297,Loss at 5 Epochs
8,0.1,4,1.421279,0.016003,Loss at 5 Epochs
8,0.1,4,1.425878,0.016003,Loss at 5 Epochs
8,0.1,4,1.935073,0.016003,Loss at 5 Epochs
8,0.1,4,1.434221,0.016003,Loss at 5 Epochs
8,0.1,4,2.04298,0.016003,Loss at 5 Epochs
8,0.1,4,1.413766,0.016003,Loss at 5 Epochs
8,0.1,4,1.216019,0.016003,Loss at 5 Epochs
8,0.1,4,1.925994,0.016003,Loss at 5 Epochs
8,0.1,4,1.735515,0.016003,Loss at 5 Epochs
8,0.1,4,1.597181,0.016003,Loss at 5 Epochs
8,0.1,8,1.239868,0.065639,Loss at 5 Epochs
8,0.1,8,1.23543,0.065639,Loss at 5 Epochs
8,0.1,8,0.397849,0.065639,Loss at 5 Epochs
8,0.1,8,1.317992,0.065639,Loss at 5 Epochs
8,0.1,8,0.899183,0.065639,Loss at 5 Epochs
8,0.1,8,0.975704,0.065639,Loss at 5 Epochs
8,0.1,8,0.97484,0.065639,Loss at 5 Epochs
8,0.1,8,1.197313,0.065639,Loss at 5 Epochs
8,0.1,8,1.497813,0.065639,Loss at 5 Epochs
8,0.1,8,1.87652,0.065639,Loss at 5 Epochs
8,0.2,2,2.607103,0.005326,Loss at 5 Epochs
8,0.2,2,1.960086,0.005326,Loss at 5 Epochs
8,0.2,2,2.819594,0.005326,Loss at 5 Epochs
8,0.2,2,2.571371,0.005326,Loss at 5 Epochs
8,0.2,2,2.21393,0.005326,Loss at 5 Epochs
8,0.2,2,1.926442,0.005326,Loss at 5 Epochs
8,0.2,2,2.17389,0.005326,Loss at 5 Epochs
8,0.2,2,2.812235,0.005326,Loss at 5 Epochs
8,0.2,2,2.574971,0.005326,Loss at 5 Epochs
8,0.2,2,1.920167,0.005326,Loss at 5 Epochs
8,0.2,4,2.949599,0.00865,Loss at 5 Epochs
